ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
02513.HK,20260108,120.0,135.0,116.1,131.5,116.2,15.3,13.17,17518159.0,2229091549.6
02513.HK,20260109,137.2,165.0,137.2,158.6,131.5,27.1,20.61,6908145.0,1044524765.0
02513.HK,20260112,182.3,258.0,165.1,208.4,158.6,49.8,31.4,9421009.0,1961613289.6
02513.HK,20260113,220.4,225.2,176.0,181.8,208.4,-26.6,-12.76,4117444.0,802460283.7
02513.HK,20260114,194.7,222.6,189.0,216.0,181.8,34.2,18.81,5821301.0,1204465753.1
02513.HK,20260115,212.0,243.0,206.0,241.0,216.0,25.0,11.57,3436595.0,778536245.0
02513.HK,20260116,233.8,263.0,228.0,250.0,241.0,9.0,3.73,4242273.0,1045004794.9
02513.HK,20260119,245.0,250.0,220.2,224.0,250.0,-26.0,-10.4,2363775.0,544036361.4
02513.HK,20260120,232.0,232.2,197.5,207.4,224.0,-16.6,-7.41,2642614.0,551035837.5
02513.HK,20260121,208.0,217.0,200.0,204.0,207.4,-3.4,-1.64,1707360.0,355601344.0
02513.HK,20260122,209.6,209.6,196.1,202.6,204.0,-1.4,-0.69,1208921.0,243544528.9
02513.HK,20260123,205.0,205.0,190.7,192.0,202.6,-10.6,-5.23,1317505.0,255874379.1
02513.HK,20260126,192.0,224.2,185.0,217.0,192.0,25.0,13.02,3131935.0,649593298.9
02513.HK,20260127,223.0,244.6,214.0,233.4,217.0,16.4,7.56,3321494.0,755432151.5
02513.HK,20260128,233.2,233.2,221.0,228.0,233.4,-5.4,-2.31,1284174.0,290097410.9
02513.HK,20260129,230.6,252.0,224.0,227.0,228.0,-1.0,-0.44,2974195.0,714333331.6
02513.HK,20260130,228.0,234.8,216.6,226.2,227.0,-0.8,-0.35,1156013.0,262045593.8
02513.HK,20260202,226.2,246.6,219.0,224.6,226.2,-1.6,-0.71,1791910.0,415170249.0
02513.HK,20260203,230.0,253.0,229.8,243.2,224.6,18.6,8.28,2544481.0,615961278.7
02513.HK,20260204,235.0,237.0,222.2,227.2,243.2,-16.0,-6.58,1116794.0,254093542.4
02513.HK,20260205,222.6,231.0,210.6,216.2,227.2,-11.0,-4.84,938707.0,205553131.4
02513.HK,20260206,207.0,208.6,198.0,203.2,216.2,-13.0,-6.01,1177111.0,238538199.2
02513.HK,20260209,214.0,287.8,214.0,276.8,203.2,73.6,36.22,4530724.0,1156264678.7
02513.HK,20260210,278.0,344.0,277.4,317.8,276.8,41.0,14.81,3427046.0,1084580181.278
02513.HK,20260211,333.0,354.0,306.8,312.4,317.8,-5.4,-1.7,3120272.0,1027235099.7
02513.HK,20260212,339.8,443.0,318.8,402.0,312.4,89.6,28.68,6813071.0,2647569588.0
02513.HK,20260213,422.0,496.0,408.0,485.0,402.0,83.0,20.65,5238296.0,2440624380.8
02513.HK,20260216,522.0,540.0,460.0,508.0,485.0,23.0,4.74,3656614.0,1797178082.3
02513.HK,20260220,534.0,725.0,532.5,725.0,508.0,217.0,42.72,5266887.0,3241357670.4
02513.HK,20260223,625.0,672.5,540.0,560.0,725.0,-165.0,-22.76,5397566.0,3169664874.2
02513.HK,20260224,575.5,698.0,525.0,628.0,560.0,68.0,12.14,5089620.0,3155070873.7
02513.HK,20260225,591.0,666.0,555.5,560.5,628.0,-67.5,-10.75,2819983.0,1676907101.8
02513.HK,20260226,580.5,600.0,553.0,556.5,560.5,-4.0,-0.71,1858203.0,1071155071.5
02513.HK,20260227,540.0,592.0,482.0,575.0,556.5,18.5,3.32,3914912.0,2105830806.4
02513.HK,20260302,550.5,610.0,544.0,550.0,575.0,-25.0,-4.35,1719691.0,982361996.5
02513.HK,20260303,568.0,625.0,526.5,528.0,550.0,-22.0,-4.0,4402599.0,2531679796.5
02513.HK,20260304,534.0,578.0,500.0,510.0,528.0,-18.0,-3.41,2355798.0,1265909013.0
02513.HK,20260305,526.0,551.5,497.0,520.0,510.0,10.0,1.96,2023341.0,1045633812.9
02513.HK,20260306,509.0,553.5,505.0,532.0,520.0,12.0,2.31,1380878.0,743317672.5
02513.HK,20260309,513.0,583.0,481.2,575.0,532.0,43.0,8.08,4377154.0,2317754255.0
