ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
01956.HK,20260626,110.0,125.0,105.0,111.7,60.7,51.0,84.02,6313076.0,712772062.2
01956.HK,20260629,112.0,116.0,91.85,92.05,111.7,-19.65,-17.59,1387241.0,140444737.9
01956.HK,20260630,92.05,93.45,80.1,85.5,92.05,-6.549999999999997,-7.115697990222703,825800.0,70070000.0
01956.HK,20260702,85.5,85.5,74.2,76.75,85.5,-8.75,-10.23,963939.0,75164578.5
01956.HK,20260703,76.0,91.95,71.55,88.95,76.75,12.2,15.9,679600.0,58865170.0
01956.HK,20260706,88.75,88.75,75.6,78.95,88.95,-10.0,-11.24,300650.0,23852336.4
01956.HK,20260707,78.0,85.8,72.5,79.85,78.95,0.9,1.14,145800.0,11720750.0
01956.HK,20260708,78.0,84.5,75.05,83.2,79.85,3.35,4.2,258000.0,20736895.6
01956.HK,20260709,82.8,85.0,77.5,79.15,83.2,-4.05,-4.87,215200.0,17372865.0
01956.HK,20260710,79.2,88.85,77.0,86.05,79.15,6.9,8.72,219520.0,18432642.5
01956.HK,20260713,86.0,87.9,74.1,75.0,86.05,-11.05,-12.84,273400.0,21456975.8
01956.HK,20260714,75.0,77.45,72.6,77.4,75.0,2.4,3.2,269270.0,20389620.0
01956.HK,20260715,77.35,82.85,76.0,79.7,77.4,2.3,2.97,226600.0,18181225.0
01956.HK,20260716,79.7,79.7,72.5,76.65,79.7,-3.05,-3.83,191400.0,14768560.0
01956.HK,20260717,76.65,77.0,62.45,64.6,76.65,-12.05,-15.72,294200.0,20008842.0
01956.HK,20260720,65.35,66.75,60.5,63.0,64.6,-1.6,-2.48,212200.0,13590104.6
01956.HK,20260721,63.15,64.7,60.75,62.8,63.0,-0.2,-0.32,277800.0,17561650.0
01956.HK,20260722,62.95,65.45,61.4,62.7,62.8,-0.1,-0.16,238000.0,15053458.0
01956.HK,20260723,62.8,70.0,62.8,68.0,62.7,5.3,8.45,271600.0,18025230.0
01956.HK,20260724,68.1,76.1,66.3,67.85,68.0,-0.15,-0.22,288960.0,20816584.0
01956.HK,20260727,67.75,72.7,63.3,67.95,67.85,0.1,0.15,214900.0,14597915.0
01956.HK,20260728,67.95,68.85,61.0,61.3,67.95,-6.65,-9.79,203200.0,12970990.0
01956.HK,20260729,61.6,64.25,59.05,62.05,61.3,0.75,1.22,304110.0,18773051.5
01956.HK,20260730,61.85,62.35,58.1,60.0,62.05,-2.05,-3.3,206301.0,12529599.9
01956.HK,20260731,61.8,64.15,59.6,62.0,60.0,2.0,3.33,314430.0,19398443.25
01956.HK,20260803,63.95,68.0,63.8,65.5,62.0,3.5,5.64516129032258,134000.0,8847000.0
01956.HK,20260804,65.5,77.7,65.5,75.4,65.5,9.900000000000006,15.1145038167939,361020.0,26960100.000000004
01956.HK,20260805,78.85,81.0,76.55,76.75,75.4,1.3499999999999943,1.790450928381955,210389.0,16609700.0
01956.HK,20260806,74.6,79.95,73.0,75.7,76.75,-1.0499999999999972,-1.368078175895762,127800.0,9633200.0
01956.HK,20260807,75.05,81.45,72.6,74.85,75.7,-0.8500000000000085,-1.1228533685601167,304200.0,23366200.0
01956.HK,20260810,74.85,81.9,74.0,81.55,74.85,6.700000000000003,8.951235804943224,384000.0,30313600.0
01956.HK,20260811,81.15,89.15,79.05,88.7,81.55,7.150000000000006,8.76762722256285,352600.0,29344400.0
01956.HK,20260812,89.2,100.0,87.1,99.15,88.7,10.450000000000005,11.781285231116124,183200.0,17274200.0
01956.HK,20260813,97.35,99.05,87.0,91.25,99.15,-7.900000000000006,-7.967725668179532,152600.0,14024200.0
01956.HK,20260814,91.25,95.25,88.1,92.8,91.25,1.5499999999999972,1.6986301369862984,91600.0,8503600.0
01956.HK,20260817,93.9,98.0,92.4,95.5,92.8,2.700000000000003,2.9094827586206926,108800.0,10349400.0
01956.HK,20260818,96.15,96.15,84.9,86.0,95.5,-9.5,-9.947643979057592,118810.0,10404600.0
01956.HK,20260819,85.95,85.95,77.6,79.3,86.0,-6.700000000000003,-7.790697674418608,127716.0,10207100.0
01956.HK,20260820,79.5,85.1,79.15,84.4,79.3,5.1000000000000085,6.431273644388409,56800.0,4637600.0
01956.HK,20260821,81.9,89.0,81.9,87.55,84.4,3.1499999999999915,3.732227488151649,73200.0,6366799.999999999
01956.HK,20260824,79.0,89.45,79.0,88.3,87.55,0.75,0.8566533409480298,66200.0,5725900.0
01956.HK,20260825,86.55,91.85,86.05,90.0,88.3,1.7000000000000028,1.925254813137036,58800.0,5324500.0
01956.HK,20260826,88.0,97.0,88.0,93.1,90.0,3.0999999999999943,3.444444444444438,112198.0,10596199.999999998
01956.HK,20260827,92.8,95.6,89.0,93.4,93.1,0.3000000000000113,0.3222341568206352,70700.0,6607700.0
01956.HK,20260828,93.2,95.5,86.4,87.75,93.4,-5.650000000000006,-6.049250535331911,59200.0,5260200.0
01956.HK,20260831,85.4,90.95,85.4,86.0,87.75,-1.75,-1.9943019943019944,45800.0,4008100.0
01956.HK,20260901,85.35,86.0,81.15,82.9,86.0,-3.0999999999999943,-3.604651162790691,110895.0,9149800.0
01956.HK,20260902,81.5,86.95,74.1,74.1,82.9,-8.800000000000011,-10.615199034981918,156426.0,12209000.0
01956.HK,20260903,74.2,81.55,72.55,80.75,74.1,6.650000000000006,8.974358974358983,310035.0,23667200.0
01956.HK,20260904,81.25,90.25,79.3,90.2,80.75,9.450000000000005,11.702786377708982,384511.0,32607400.0
01956.HK,20260907,92.85,100.0,88.05,89.9,90.2,-0.2999999999999971,-0.3325942350332562,1064200.0,101380800.0
01956.HK,20260908,91.0,91.0,78.05,85.0,89.9,-4.900000000000006,-5.450500556173532,376800.0,31104300.0
01956.HK,20260909,84.95,88.75,76.0,79.05,85.0,-5.950000000000003,-7.000000000000004,229200.0,18954500.0
01956.HK,20260910,81.0,81.0,75.1,77.65,79.05,-1.3999999999999917,-1.7710309930423676,248000.0,19252300.0
01956.HK,20260911,77.7,82.85,75.25,79.3,77.65,1.6499999999999917,2.1249195106245864,221600.0,17605000.0
01956.HK,20260914,79.3,85.1,73.4,73.9,79.3,-5.3999999999999915,-6.809583858764176,486000.0,38149400.0
01956.HK,20260915,75.85,85.0,73.15,78.7,73.9,4.799999999999997,6.4952638700947185,720600.0,56502600.0
