period,period_type,revenue_usdm,gross_profit_usdm,gross_margin,ai_native_products_revenue_usdm,open_platform_revenue_usdm,rd_expense_usdm,net_loss_usdm,adjusted_net_loss_usdm,cash_balance_usdm,bank_borrowings_usdm,source_url,notes
FY2025,full_year,79.038,20.079,0.254,,,,1871.617,250.856,1050.3,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0422/2026042202118.pdf,Audited annual report; loss figures recorded as positive magnitudes
H1 2025,half_year,30.429,3.685,0.121,21.223,9.206,124.333,402.188,138.735,,,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0826/2026082600680.pdf,Comparative six-month period in the interim-results announcement; loss and expense figures recorded as positive magnitudes
H1 2026,half_year,116.573,20.813,0.179,42.644,73.929,296.870,357.997,293.031,1322.8,133.6,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0826/2026082600680.pdf,Unaudited interim results reviewed by Ernst & Young; cash balance includes cash equivalents amortised-cost assets FVPL assets restricted cash and time deposits
