event,day0,leak_-5_-1,react_0_1,drift_2_10
GLM-5,2026-02-11,22.33252310923941,22.5,24.7
GLM-5-Turbo,2026-03-16,-21.532746159061727,7.7,-19.3
GLM-5.1,2026-04-08,7.380876652367633,13.8,-14.2
GLM-5.2,2026-06-15,-23.244356322313866,30.8,28.2
GLM-5.3,2026-08-14,26.450035834674363,-6.5,3.8
