metric,value
Market date,2026-06-26
Market price (HK$),2046.0
Market equity value (US$m),114103.8
Market EV / FY2026E revenue,570.5
Bear per share (HK$),12.2
Base per share (HK$),28.1
Bull per share (HK$),81.6
Probability-weighted equity (US$m),1853.8
Probability-weighted per share (HK$),33.2
DCF value as % of market,0.0162
