draw,peer_reaction_mean_car_pct,peer_drift_mean_car_pct
1,0.7349999999999994,21.2825
2,-5.635,-6.307500000000003
3,9.919999999999998,18.1425
4,3.577499999999999,23.4
5,7.3199999999999985,16.775
6,2.342499999999999,-7.6999999999999975
7,-0.10750000000000037,26.252499999999998
8,-0.6450000000000014,1.3549999999999978
9,12.16,11.2575
10,2.6699999999999995,21.159999999999997
11,5.949999999999998,17.5
12,9.245,35.2925
13,2.04,1.6774999999999975
14,3.2524999999999986,17.5875
15,5.264999999999999,9.917499999999999
16,7.4775,-0.6600000000000019
17,4.7675,22.029999999999998
18,11.8575,24.1675
19,-12.905000000000001,17.615
20,3.1349999999999993,16.5825
21,-1.6650000000000005,7.7675
22,6.179999999999999,13.725
23,9.684999999999999,-11.940000000000001
24,6.5075,10.929999999999996
25,0.5624999999999987,35.2625
26,2.33,25.59
27,-3.7,10.769999999999998
28,8.237499999999999,4.7399999999999975
29,1.7199999999999993,-8.987499999999997
30,3.6574999999999998,-10.560000000000002
31,2.9174999999999995,32.2025
32,2.3800000000000003,18.252499999999998
33,-6.7625,23.547500000000003
34,6.675000000000001,21.759999999999998
35,10.309999999999999,20.6125
36,4.300000000000001,23.7275
37,1.6725000000000003,11.952499999999999
38,11.77,28.950000000000003
39,7.3525,22.7025
40,-8.002500000000001,8.1275
41,3.747499999999999,27.78
42,5.659999999999999,22.9275
43,1.0349999999999995,0.11249999999999893
44,1.6599999999999988,4.2825
45,-7.405000000000001,11.629999999999994
46,-22.1125,13.1175
47,-0.9650000000000001,29.310000000000002
48,2.4849999999999994,11.43
49,22.394999999999996,-17.92
50,-24.675,5.349999999999998
51,3.6700000000000004,1.459999999999999
52,5.6025,14.587499999999999
53,-5.164999999999999,18.9625
54,0.9049999999999996,31.895
55,1.4799999999999995,23.825
56,6.1049999999999995,16.5
57,-2.5625000000000004,19.112499999999997
58,8.552499999999998,16.394999999999996
59,1.1049999999999995,7.157499999999998
60,8.384999999999998,-1.7275000000000027
61,5.3725000000000005,13.0775
62,-1.3675,13.9375
63,5.824999999999999,13.772499999999997
64,0.9149999999999991,9.822499999999996
65,0.039999999999999813,27.815
66,-7.51,26.619999999999997
67,-5.415000000000001,25.537499999999998
68,14.502499999999998,4.619999999999999
69,2.08,-15.187500000000005
70,9.315,26.8825
71,3.43,19.6725
72,5.444999999999999,28.805
73,8.245000000000001,18.144999999999996
74,-3.7174999999999994,24.814999999999998
75,-3.9250000000000007,19.222499999999997
76,-1.6699999999999995,24.659999999999997
77,-11.857500000000002,5.657500000000001
78,3.4674999999999985,16.8125
79,-12.02,16.16
80,5.337499999999999,13.7275
81,7.0875,-7.255000000000003
82,1.0875,19.284999999999997
83,-4.2625,27.249999999999996
84,-0.4450000000000003,6.074999999999999
85,-26.8275,-11.504999999999999
86,4.8824999999999985,-15.747499999999999
87,-3.579999999999999,14.0125
88,4.677499999999999,3.4499999999999993
