window,n_bootstrap,actual_mean_car_pct,bootstrap_mean_pct,bootstrap_ci_2_5_pct,bootstrap_ci_97_5_pct,actual_percentile,block_lengths_days,excluded_event_window_days
"Peer-adjusted reaction [0,+1]",20000,18.47,1.09,-16.31,14.52,99.43,"2,2,2,2",44
"Peer-adjusted drift [+2,+10]",20000,20.55,7.76,-18.98,30.21,84.56,"9,9,9,9",44
